Mean_Intensity,Edge_Density,Motion_Mag,Entropy,Temp_C,Vib_RMS,Motion_Flag,Class_Label,Importance_Score,Decision_Label
0.325,0.249,0.73,3.799,28.99,0.678,1,2,0.253,3
0.67,0.223,0.185,2.959,26.95,0.396,0,1,0.845,3
0.539,0.123,0.347,5.333,27.26,0.156,0,3,0.285,5
0.459,0.399,0.663,1.829,27.81,0.589,1,1,0.603,0
0.194,0.315,0.482,3.563,28.04,0.335,1,0,0.971,1
0.194,0.564,0.739,4.091,28.42,0.476,0,1,0.952,3
0.135,0.031,0.961,4.68,28.55,0.086,0,0,0.435,0
0.62,0.422,0.117,2.713,30.56,0.505,0,0,0.068,6
0.461,0.498,0.71,4.029,31.1,0.299,1,4,0.903,2
0.525,0.496,0.23,2.225,29.09,0.267,1,2,0.127,5
0.112,0.577,0.414,2.847,35.07,0.784,0,1,0.924,6
0.682,0.477,0.033,5.009,31.53,0.346,1,3,0.733,0
0.599,0.604,0.136,5.265,33.87,0.542,0,4,0.934,3
0.227,0.223,0.32,4.178,35.24,0.502,1,2,0.665,5
0.209,0.332,0.342,2.559,27.63,0.083,1,4,0.995,0
0.21,0.019,0.9,4.654,30.28,0.598,0,1,0.467,0
0.283,0.014,0.742,0.922,30.33,0.259,0,1,0.33,5
0.415,0.164,0.972,1.283,29.54,0.639,1,1,0.393,5
0.359,0.075,0.599,3.908,26.09,0.486,0,2,0.35,0
0.275,0.177,0.242,2.169,34.16,0.254,1,4,0.401,3
0.467,0.123,0.328,5.272,27.12,0.285,1,3,0.885,5
0.184,0.028,0.32,2.849,35.95,0.585,0,4,0.592,1
0.275,0.592,0.326,2.818,33.73,0.44,0,2,0.726,6
0.32,0.015,0.673,3.987,31.8,0.535,0,0,0.288,2
0.374,0.481,0.531,4.408,27.55,0.127,0,0,0.99,1
0.571,0.107,0.385,3.035,31.15,0.63,0,0,0.281,4
0.22,0.594,0.149,1.806,28.61,0.256,1,3,0.159,1
0.409,0.581,0.022,4.435,28.52,0.496,0,2,0.778,6
0.455,0.428,0.219,2.306,34.3,0.092,1,2,0.839,5
0.128,0.44,0.107,1.623,29.81,0.257,1,0,0.394,2
0.465,0.013,0.785,3.769,30.51,0.519,0,2,0.541,6
0.202,0.64,0.112,1.225,34.43,0.219,0,2,0.414,0
0.139,0.572,0.724,5.365,26.88,0.704,1,1,0.294,1
0.669,0.583,0.386,3.772,31.95,0.529,0,3,0.813,6
0.679,0.432,0.073,5.434,31.78,0.696,0,2,0.757,3
0.585,0.231,0.813,2.393,30.25,0.316,0,0,0.485,5
0.283,0.582,0.58,5.365,34.3,0.027,1,4,0.456,4
0.159,0.197,0.236,1.484,35.43,0.461,0,4,0.18,0
0.511,0.37,0.895,0.991,30.65,0.271,0,3,0.637,0
0.364,0.074,0.045,0.955,30.56,0.359,1,2,0.924,0
0.173,0.6,0.202,2.985,31.02,0.545,0,1,0.719,1
0.397,0.1,0.752,1.19,33.23,0.561,1,2,0.506,3
0.121,0.154,0.709,3.207,32.68,0.022,0,0,0.039,6
